IDNO;age;formation;dom_Typo_panel
CH11104;4;3;B
CH11105;4;2;A
CH11113;4;3;A
CH11114;4;6;A
CH11117;2;4;D
CH11119;5;3;A
CH11120;2;3;A
CH11122;4;3;-99
CH1113;3;6;A
CH11131;3;3;D
CH11132;1;4;A
CH11139;3;5;B
CH11141;3;3;D
CH11143;4;6;D
CH11145;2;3;B
CH11146;3;5;D
CH1115;1;6;F
CH11151;4;6;C
CH11158;3;3;A
CH11161;4;3;C
CH11164;2;5;A
CH11165;2;4;C
CH11166;4;6;A
CH11168;3;6;B
CH11175;4;3;B
CH11178;4;6;C
CH1118;4;6;C
CH11188;3;4;-99
CH11190;3;5;D
CH11194;3;5;C
CH11199;3;5;B
CH11200;5;3;A
CH11204;4;3;F
CH11205;4;2;B
CH11207;3;6;D
CH11210;1;5;A
CH11211;3;3;A
CH11212;2;3;-99
CH11216;2;5;B
CH11217;3;6;B
CH1122;3;5;B
CH11221;5;2;A
CH11226;4;5;C
CH11229;3;3;A
CH1123;2;6;A
CH11234;3;3;C
CH11259;5;6;F
CH11267;3;6;A
CH11268;5;3;B
CH11273;5;5;C
CH11280;2;6;D
CH11284;3;6;A
CH11287;3;3;B
CH11288;5;6;B
CH11295;4;4;B
CH11297;3;4;A
CH11298;2;5;C
CH113;3;2;B
CH11301;1;5;A
CH11308;2;5;B
CH1132;4;3;A
CH11322;4;6;B
CH11327;2;5;A
CH1133;4;5;F
CH11339;3;3;D
CH1134;3;6;A
CH1135;3;6;-99
CH11356;4;5;D
CH11359;5;3;-99
CH1136;3;6;A
CH11364;3;6;B
CH11368;2;1;B
CH11370;5;3;A
CH11371;4;3;B
CH11374;3;6;C
CH11381;2;5;B
CH11383;2;6;B
CH11386;2;3;B
CH11391;4;3;B
CH11394;2;5;A
CH114;3;5;B
CH11404;4;6;C
CH11407;5;4;B
CH11409;4;3;-99
CH11410;4;6;B
CH11412;3;5;A
CH11415;3;5;D
CH11423;4;3;D
CH11424;4;6;D
CH11425;4;4;F
CH11429;4;6;B
CH11433;4;3;B
CH11440;3;6;D
CH11441;2;5;B
CH11457;5;6;B
CH11458;3;3;A
CH11459;3;3;F
CH11460;4;3;A
CH11461;2;5;C
CH11464;3;3;F
CH11471;4;5;B
CH11477;3;3;D
CH11481;2;3;F
CH11483;3;5;A
CH11491;2;5;A
CH11492;3;4;D
CH11496;3;3;B
CH115;3;6;A
CH11504;3;5;-99
CH11506;4;3;F
CH11507;3;5;F
CH11511;1;5;C
CH11524;4;6;C
CH11526;3;3;-99
CH11528;3;6;C
CH11531;4;4;C
CH11534;3;3;F
CH11540;4;4;D
CH11541;2;6;A
CH11545;2;5;B
CH11554;3;6;D
CH11557;4;6;C
CH11564;3;6;A
CH11566;4;6;C
CH11568;2;3;B
CH11569;3;4;C
CH11591;4;4;-99
CH11593;3;6;C
CH11594;3;3;A
CH11603;2;5;-99
CH11607;5;3;-99
CH11608;2;4;B
CH11618;3;6;C
CH11622;4;6;A
CH11632;3;6;A
CH11637;1;3;D
CH1164;5;3;F
CH11641;3;5;D
CH11642;3;6;A
CH1165;3;6;F
CH11655;4;5;B
CH11657;5;6;B
CH1166;4;3;D
CH11661;4;4;B
CH11662;2;5;B
CH11664;4;4;B
CH11666;3;3;A
CH11667;3;6;-99
CH11670;3;5;D
CH11676;3;3;F
CH11677;2;6;C
CH11685;3;6;C
CH11686;3;6;B
CH11689;4;4;D
CH11692;4;2;D
CH11693;2;3;A
CH1170;3;5;C
CH11701;3;5;D
CH11705;3;3;-99
CH11707;2;3;A
CH11708;5;4;C
CH11713;4;6;C
CH11714;3;6;A
CH11717;4;6;F
CH11722;4;3;D
CH1173;4;3;-99
CH11732;4;3;-99
CH11734;4;3;B
CH11735;3;5;B
CH11740;3;5;F
CH11745;3;3;D
CH11754;4;6;F
CH11761;3;5;F
CH11763;2;5;F
CH11769;4;1;F
CH1177;3;5;-99
CH11770;3;6;A
CH11771;1;3;D
CH11784;3;3;F
CH11785;3;6;F
CH11790;4;3;F
CH11796;2;3;B
CH11804;3;6;A
CH11806;4;5;B
CH11809;3;5;C
CH1181;1;5;B
CH11811;4;6;A
CH11813;3;3;F
CH11814;2;6;D
CH1182;1;4;D
CH11825;4;5;B
CH11830;3;1;B
CH11831;3;1;B
CH11832;5;6;B
CH11834;4;6;A
CH11836;3;5;A
CH11844;3;5;B
CH11848;3;5;D
